id,dataset,category
200/00000,ts_200,0
200/00001,ts_200,0
200/00002,ts_200,0
200/00003,ts_200,0
200/00004,ts_200,0
200/00005,ts_200,0
200/00006,ts_200,0
200/00007,ts_200,0
200/00008,ts_200,0
200/00009,ts_200,0
200/00010,ts_200,0
200/00011,ts_200,0
200/00012,ts_200,0
200/00013,ts_200,0
200/00014,ts_200,0
200/00015,ts_200,0
200/00016,ts_200,0
200/00017,ts_200,0
200/00018,ts_200,0
200/00019,ts_200,0
200/00020,ts_200,0
200/00021,ts_200,0
200/00022,ts_200,0
200/00023,ts_200,0
200/00024,ts_200,0
200/00025,ts_200,0
200/00026,ts_200,0
200/00027,ts_200,0
200/00028,ts_200,0
200/00029,ts_200,0
200/00030,ts_200,0
200/00031,ts_200,0
200/00032,ts_200,0
200/00033,ts_200,0
200/00034,ts_200,0
200/00035,ts_200,0
200/00036,ts_200,0
200/00037,ts_200,0
200/00038,ts_200,0
200/00039,ts_200,0
200/00040,ts_200,0
200/00041,ts_200,0
200/00042,ts_200,0
200/00043,ts_200,0
200/00044,ts_200,0
200/00045,ts_200,0
200/00046,ts_200,0
200/00047,ts_200,0
200/00048,ts_200,0
200/00049,ts_200,0
200/00050,ts_200,0
200/00051,ts_200,0
200/00052,ts_200,0
200/00053,ts_200,0
200/00054,ts_200,0
200/00055,ts_200,0
200/00056,ts_200,0
200/00057,ts_200,0
200/00058,ts_200,0
200/00059,ts_200,0
200/00060,ts_200,0
200/00061,ts_200,0
200/00062,ts_200,0
200/00063,ts_200,0
200/00064,ts_200,0
200/00065,ts_200,0
200/00066,ts_200,0
200/00067,ts_200,0
200/00068,ts_200,0
200/00069,ts_200,0
200/00070,ts_200,0
200/00071,ts_200,0
200/00072,ts_200,0
200/00073,ts_200,0
200/00074,ts_200,0
200/00075,ts_200,0
200/00076,ts_200,0
200/00077,ts_200,0
200/00078,ts_200,0
200/00079,ts_200,0
200/00080,ts_200,0
200/00081,ts_200,0
200/00082,ts_200,0
200/00083,ts_200,0
200/00084,ts_200,0
200/00085,ts_200,0
200/00086,ts_200,0
200/00087,ts_200,0
200/00088,ts_200,0
200/00089,ts_200,0
200/00090,ts_200,0
200/00091,ts_200,0
200/00092,ts_200,0
200/00093,ts_200,0
200/00094,ts_200,0
200/00095,ts_200,0
200/00096,ts_200,0
200/00097,ts_200,0
200/00098,ts_200,0
200/00099,ts_200,0
200/00100,ts_200,0
200/00101,ts_200,0
200/00102,ts_200,0
200/00103,ts_200,0
200/00104,ts_200,0
200/00105,ts_200,0
200/00106,ts_200,0
200/00107,ts_200,0
200/00108,ts_200,0
200/00109,ts_200,0
200/00110,ts_200,0
200/00111,ts_200,0
200/00112,ts_200,0
200/00113,ts_200,0
200/00114,ts_200,0
200/00115,ts_200,0
200/00116,ts_200,0
200/00117,ts_200,0
200/00118,ts_200,0
200/00119,ts_200,0
200/00120,ts_200,0
200/00121,ts_200,0
200/00122,ts_200,0
200/00123,ts_200,0
200/00124,ts_200,0
200/00125,ts_200,0
200/00126,ts_200,0
200/00127,ts_200,0
200/00128,ts_200,0
200/00129,ts_200,0
200/00130,ts_200,0
200/00131,ts_200,0
200/00132,ts_200,0
200/00133,ts_200,0
200/00134,ts_200,0
200/00135,ts_200,0
200/00136,ts_200,0
200/00137,ts_200,0
200/00138,ts_200,0
200/00139,ts_200,0
200/00140,ts_200,0
200/00141,ts_200,0
200/00142,ts_200,0
200/00143,ts_200,0
200/00144,ts_200,0
200/00145,ts_200,0
200/00146,ts_200,0
200/00147,ts_200,0
200/00148,ts_200,0
200/00149,ts_200,0
200/00150,ts_200,0
200/00151,ts_200,0
200/00152,ts_200,0
200/00153,ts_200,0
200/00154,ts_200,0
200/00155,ts_200,0
200/00156,ts_200,0
200/00157,ts_200,0
200/00158,ts_200,0
200/00159,ts_200,0
200/00160,ts_200,0
200/00161,ts_200,0
200/00162,ts_200,0
200/00163,ts_200,0
200/00164,ts_200,0
200/00165,ts_200,0
200/00166,ts_200,0
200/00167,ts_200,0
200/00168,ts_200,0
200/00169,ts_200,0
200/00170,ts_200,0
200/00171,ts_200,0
200/00172,ts_200,0
200/00173,ts_200,0
200/00174,ts_200,0
200/00175,ts_200,0
200/00176,ts_200,0
200/00177,ts_200,0
200/00178,ts_200,0
200/00179,ts_200,0
